Style/Flavor,Cheese Pairings,
Abbey,Triple Crème,
Altbier“Old Beer”,"Camembert,Fontina",
American AmberLager,Parmesan;Cheddar;Jack,
Barley Wine,"Blue, Sharp Cheddar, Limburger; Gorgonzola; Blues; Sharp Cheddar;",
Biere de Garde,"Asiago, Colby, Parmesan, Edam, Feta; Brick",
Bitter,Red Leicester,
Bock,Camembert;Fontina; Gruyere; Emmenthal;,
Brown Ale,"Camembert;Fontina; Asiago, Colby, Parmesan, Gloucester; Aged Gouda; Cheshire",
Doppelbock,Brie; Gouda; Havarti; Swiss; Camembert; Fontina; Limburger,
Dortmunder Export,Brie; Gouda; Havarti; Swiss;,
Dubbel,Brie; Gouda; Havarti; Swiss; Limburger; Gorgonzola;Morbier,
Dunkle/Dunkles,"Asiago, Colby, Parmesan,",
ESB – Extra Special Bitter,"Brie; Gouda; Havarti; Swiss; Asiago, Colby, Parmesan, Brick; Edam; Feta;",
Gueuze,Brie; Gouda; Havarti; Swiss; Limburger; Gorgonzola; Blues; Sharp Cheddar;,
Hefeweizen,Brick; Edam; Feta; Chevre; Boursin Spreads,
Helles,Brie; Gouda; Havarti; Swiss;,
Imperial Stout,Aged Gouda; Parmesan; Cheddar,
IPA – India Pale Ale,"Asiago, Colby, Parmesan, Monterey; Pepper Jack; Limburger; Gorgonzola; Blues; Sharp Cheddar; Brick; Edam; Feta",
Kölsch,Monterey Jack; Brick,
Lambic,Limburger; Gorgonzola; Blues; Sharp Cheddar;,
Marzenbier/Oktoberfest,Pepper Jack; Swiss; Emmenthal; Gruyere; Pepper Jack,
Old Ale,Brie; Gouda; Havarti; Swiss;,
Oud Bruin – “Old Brown”,Camembert; Fontina,
Pale Ale,Camembert; Fontina; Monterey; Pepper Jack; Blues; Sharp Cheddar; Brick; Feta; Edam; Parmesan; Romano;,
Pilsner,Monterey; Pepper Jack; Blues; Sharp Cheddar; American Cheese (which is NOT really cheese); Muenster; Havarti;,
Porter,Gruyere,
Rauchbier “Smoked Beer”,Monterey; Pepper Jack; Blues; Sharp Cheddar;,
Saison,"Camembert; Fontina; Asiago, Colby, Parmesan, Limburger; Gorgonzola;",
Schwarzbier – “Black Beer”,Muenster,
Scotch Ale,Brie; Gouda; Havarti; Swiss; Myzithra; Idiazabal,
Stout,Dubliner; Cahill’s Original Irish Porter Cheese,
Trappist,Triple Creme,
Tripel,Limburger; Gorgonzola; Blues; Sharp Cheddar;,
Vienna Style,Pepper Jack,
Weissel/Weissbier,Blues; Sharp Cheddar; Brick; Edam; Feta;,
Weissbock,Humboldt Fog,
Witbier,Monterey; Pepper Jack; Brick; Edam; Feta; Chevre; Mascarpone,